,id,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,gps_code
11695,35333,small_airport,Cullen Airport,AR,-52.88574,-68.414956,132.0,
11696,35334,small_airport,Estancia Los Cerros Airport,AR,-54.343,-67.837532,1914.0,
11697,35335,small_airport,Rio Bellavista Airport,AR,-53.98270034790039,-68.52359771728516,201.0,
11698,35398,small_airport,Merlo Airport,AR,-32.35820007324219,-65.01740264892578,796.0,
11699,35399,small_airport,Bragado Airport,AR,-35.145811,-60.480294,196.0,SA2X
11700,333805,small_airport,Los Rulos Airport,AR,-28.933839,-62.792315,305.0,
11701,35401,small_airport,Caleta Olivia Airport,AR,-46.37428,-67.59409,37.0,
11702,42798,small_airport,Aeroclub Chaco Airport,AR,-27.6311,-59.1797,164.0,
11703,35403,small_airport,Charata Airport,AR,-27.2164,-61.2103,318.0,
11704,35404,small_airport,General Villegas Airport,AR,-34.995728,-62.999725,383.0,
11705,35405,small_airport,Los Menucos Airport,AR,-40.817699,-68.074699,2571.0,
11706,42799,small_airport,Aerofumigaciones Don Alejandro Airport,AR,-33.306157,-60.656387,170.0,
11707,42800,small_airport,Agro Servicio Yoris Airport,AR,-26.583055,-64.529724,1043.0,
11708,42801,small_airport,Agroaire Airport,AR,-27.4978,-61.6586,377.0,
11709,35409,closed,Saenz Peña Airport,AR,-26.81579971313477,-60.44829940795898,20.0,
11710,35410,closed,(Old) Antoine De Saint Exupery Airport,AR,-40.7401008606,-64.9804992676,85.0,
11711,35412,small_airport,Valcheta Airport,AR,-40.700001,-66.150002,629.0,
11712,35413,small_airport,Villa Mercedes Airport,AR,-33.640858,-65.420074,1689.0,
11713,38694,small_airport,13 De Diciembre Airport,AR,-45.90417,-67.559295,170.0,
11714,38695,heliport,Abel Monteverde Heliport,AR,-32.9208,-62.4663,2646.0,
11715,38696,small_airport,Acindar Airport,AR,-33.2647,-60.2842,82.0,
11716,38697,small_airport,Aeroboero Airport,AR,-30.7286,-62.0078,314.0,
11717,38698,small_airport,Bahia Blanca Aeroclub Airport,AR,-38.672059,-62.352846,49.0,SA92
11718,38699,small_airport,Balcarce Aeroclub Airport,AR,-37.9156,-58.3442,393.0,SA20
11719,38700,small_airport,Cipoletti Aeroclub Airport,AR,-38.8931007385,-67.9886016846,885.0,SAHI
11720,38701,small_airport,Olavarria Aeroclub Airport,AR,-36.9644012451,-60.2757987976,606.0,
11721,38702,small_airport,Rauch Airport,AR,-36.771887,-59.057837,308.0,
11722,38703,small_airport,Tandil Aeroclub Airport,AR,-37.265598,-59.0933,583.0,SA1B
11723,38704,small_airport,Aerotec Airport,AR,-33.206943512,-68.492225647,2181.0,
11724,38705,small_airport,Alagro Fumigaciones Airport,AR,-32.8878,-60.8436,114.0,
11725,38706,small_airport,San Andrés de Giles Airport,AR,-34.470347,-59.42461,167.0,
11726,38707,small_airport,Alejandro Roca Airport,AR,-33.3488998413,-63.7299995422,688.0,
11727,38708,small_airport,Alfredo Sanchez Airport,AR,-34.8011,-61.865,328.0,
11728,38709,small_airport,Algarrobo/La Reforma Airport,AR,-38.7306,-63.2869,219.0,
11729,38710,small_airport,Allen Airport,AR,-38.958099365200006,-67.8035964966,951.0,
11730,38711,small_airport,Alta Gracia Airport,AR,-31.6513996124,-64.39389801029999,1748.0,
11731,38712,small_airport,Alumine Airport,AR,-38.9502983093,-71.0492019653,3819.0,
11732,38713,small_airport,Alvear Airpark,AR,-33.0467,-60.5969,85.0,
11733,38714,small_airport,Alvear Airport,AR,-29.064722,-56.541111,226.0,
11734,38715,small_airport,Ameghino Airport,AR,-34.845619,-62.482648,360.0,SA49
11735,38716,small_airport,América Airport,AR,-35.5017,-62.99,347.0,SA52
11736,38717,small_airport,Añatuya Airport,AR,-28.4797000885,-62.8457984924,354.0,
11737,38718,small_airport,Andacollo Airport,AR,-37.20333480834961,-70.69666290283203,3524.0,
11738,38719,small_airport,Anibal Brizi Airport,AR,-31.4042,-60.8992,127.0,
11739,38720,heliport,Arelauquen Heliport,AR,-41.1612,-71.3659,3099.0,
11740,38721,heliport,Aries Heliport,AR,-52.6831,-68.0419,,
11741,38722,small_airport,Arrecifes Aeroclub Airport,AR,-34.079724,-60.046412,141.0,
11742,38723,small_airport,Arribeños Airport,AR,-34.2228,-61.3858,268.0,SA55
11743,38724,small_airport,Arroyito/Arcor Airport,AR,-31.4221992493,-63.0041999817,485.0,
11744,38725,heliport,Austral Heliport,AR,-52.8936,-68.3553,127.0,
11745,38726,heliport,Buenos Aires City Oscar and Juan Gálvez Autodrome Heliport,AR,-34.693929,-58.460403,16.0,
11746,38727,small_airport,Presidente Avellaneda Airport,AR,-29.1061,-59.6569,147.0,
11747,38728,small_airport,Ayacucho Airport,AR,-37.1639,-58.4719,221.0,SA58
11748,38729,heliport,Ayres De Pilar Heliport,AR,-34.4375,-58.7983,45.0,
11749,38730,heliport,Azcarate Irastorza Heliport,AR,-35.1994,-63.6008,416.0,
11750,38731,small_airport,B&B Servicios Agropecuarios Airport,AR,-32.1147,-61.6328,239.0,
11751,38732,heliport,B. Churruca Heliport,AR,-34.6407,-58.4094,19.0,
11752,38733,small_airport,Baradero Airport,AR,-33.821693,-59.492806,95.0,SA2R
11753,38734,small_airport,Barrancas Airport,AR,-36.7756004333,-69.8593978882,3481.0,
11754,38735,small_airport,Basavilbaso Airport,AR,-32.3611,-58.8808,196.0,
11755,38736,small_airport,Batan Airport,AR,-38.0117,-57.6775,203.0,SA4H
11756,38737,small_airport,Escobar Aeroclub,AR,-34.2986,-58.7989,13.0,
11757,38738,small_airport,Bellamar Airport,AR,-38.3858,-58.1336,42.0,
11758,38739,closed,Benavidez Airport,AR,-34.388054,-58.663887,13.0,
11759,38740,small_airport,Blondi Airport,AR,-34.61333465576172,-61.02305603027344,262.0,
11760,38741,small_airport,Gran Ancona Airport,AR,-33.4383,-61.3017,318.0,
11761,38742,small_airport,Bonetti Airport,AR,-27.604166030900004,-55.8638877869,462.0,
11762,38743,small_airport,Pablo Sierra Aeroaplicaciones Airport,AR,-30.9294,-62.0506,328.0,
11763,38744,heliport,Cabaña San Isidro Labrador Heliport,AR,-34.3783,-58.7883,39.0,
11764,38745,closed,Cabañas Airport,AR,-32.978152,-58.522496,23.0,
11765,38746,small_airport,Cabildo Airport,AR,-38.4986000061,-61.8843994141,521.0,
11766,44745,heliport,Ituzaingo / Transener S.A. Heliport,AR,-27.5601,-56.6568,233.0,
11767,38748,heliport,Cabo Vírgenes Heliport,AR,-52.3278,-68.4092,180.0,
11768,38749,small_airport,Caleufu Airport,AR,-40.39390182495117,-70.96330261230469,2323.0,
11769,38750,heliport,Campo De Vuelo Heliport,AR,-31.3689,-64.2636,1515.0,
11770,38751,small_airport,Canals Airport,AR,-33.5622,-62.8692,387.0,
11771,38752,small_airport,Cañada de Gomez Airport,AR,-32.808687,-61.36574,268.0,
11772,38753,small_airport,Cañada Rosquin Airport,AR,-32.0994,-61.5839,219.0,
11773,38754,small_airport,Cañuelas Airport,AR,-35.1119,-58.7261,98.0,
11774,38755,small_airport,Aeroclub Capitan Sarmiento,AR,-34.1639,-59.7311,160.0,
11775,38756,small_airport,Vedia Aeroclub,AR,-34.4817,-61.4903,291.0,
11776,38757,small_airport,Carhue Airport,AR,-37.1942,-62.7814,360.0,
11777,38758,small_airport,Carlos Casares Airport,AR,-35.6328,-61.3842,275.0,
11778,38759,small_airport,Las Ensenadas Airport,AR,-31.4552993774,-64.5263977051,2394.0,
11779,38760,small_airport,Carlos Tejedor Airport,AR,-35.4256,-62.4697,308.0,
11780,38761,small_airport,Carmen de Areco Airport,AR,-34.4175,-59.8719,160.0,
11781,38762,heliport,Casa De Gobierno Heliport,AR,-31.4306,-64.1842,1420.0,
11782,38763,small_airport,Casilda Airport,AR,-33.0617,-61.21,252.0,
11783,38764,small_airport,Castelli Airport,AR,-36.11000061035156,-57.86194610595703,33.0,
11784,38765,small_airport,Castelli Airport,AR,-25.93083381652832,-60.628055572509766,364.0,
11785,38766,heliport,Centinela Heliport,AR,-34.5822,-58.3744,42.0,
11786,38767,heliport,Central Nuclear Heliport,AR,-32.2294,-64.44,1738.0,
11787,38768,heliport,Centro Cívico Grand Bourg Heliport,AR,-24.7806,-65.4514,4132.0,
11788,38769,small_airport,Cereales Anahi Ruca Airport,AR,-35.6736106873,-63.7180557251,455.0,
11789,38770,heliport,Cerro Chapelco Heliport,AR,-40.1981,-71.3211,4281.0,
11790,38771,small_airport,Chacabuco Airport,AR,-34.6069,-60.4097,226.0,
11791,38772,small_airport,Chacharramendi Airport,AR,-37.340599,-65.646698,951.0,
11792,38773,small_airport,Chajari Airport,AR,-30.7542,-58.0,173.0,
11793,38774,small_airport,Chañar Ladeado Airport,AR,-33.3333,-62.0333,367.0,
11794,38775,small_airport,Chascomús Airport,AR,-35.542621,-58.052137,32.0,
11795,38776,small_airport,Chivilcoy Airport,AR,-34.9639,-60.0333,173.0,SA4B
11796,38777,small_airport,Cholila Airport,AR,-42.484722,-71.460556,1883.0,
11797,38778,small_airport,Cinco Saltos Airport,AR,-38.801666,-68.037224,1171.0,
11798,38779,heliport,Citefa Heliport,AR,-34.5575,-58.5056,55.0,
11799,38780,heliport,Ciudad Universitaria Heliport,AR,-31.4406,-64.1894,1443.0,
11800,38781,heliport,Club Nautico San Isidro Heliport,AR,-34.4614,-58.5003,6.0,
11801,38782,small_airport,Colón Airport,AR,-33.9231,-61.0461,295.0,
11802,38783,small_airport,Colon Airport,AR,-32.2614,-58.1556,65.0,
11803,38784,heliport,Complejo Llao Llao Heliport,AR,-41.0544,-71.5339,2542.0,
11804,38785,small_airport,Concepcion Del Uruguay Airport,AR,-32.4519,-58.3058,121.0,
11805,38786,small_airport,Concordia Aeroclub Airport,AR,-31.3042,-58.0153,131.0,
11806,38787,small_airport,Confluencia Airport,AR,-36.7714004517,-69.5385971069,4964.0,
11807,38788,small_airport,Coronel Dorrego Airport,AR,-38.7411,-61.2561,393.0,
11808,38789,small_airport,Coronel Pringles Airport,AR,-38.0066680908,-61.331943512,810.0,SABP
11809,38790,small_airport,Coronel Vidal Airport,AR,-37.4689,-57.7669,85.0,
11810,38791,small_airport,Corral De Bustos Airport,AR,-33.2811,-62.1514,393.0,
11811,38792,small_airport,Santa María Airport,AR,-31.2861,-64.455299,2296.0,
11812,38793,small_airport,Cruz Alta Airport,AR,-33.0078,-61.8369,318.0,
11813,38794,small_airport,Curuzu Cuatia Aeroclub Airport,AR,-29.7789,-58.0958,262.0,
11814,38795,heliport,D.P.A.O. Heliport,AR,-34.9597,-57.8928,62.0,
11815,38796,small_airport,Fumigaciones Rodriguez Airport,AR,-36.590491,-61.774888,371.0,SAE3
11816,38797,small_airport,Darregueira Airport,AR,-37.7127990723,-63.1618995667,649.0,
11817,38798,heliport,Darsena Sur Heliport,AR,-34.6278,-58.3515,16.0,
11818,38799,small_airport,Dean Funes Airport,AR,-30.3791999817,-64.379699707,2259.0,
11819,38800,small_airport,Diamante Airport,AR,-32.0161,-60.5825,246.0,
